time,open,high,low,close,volume,simple_return,log_return
2022-01-01 01:00:00,46656.14,46949.99,46574.06,46778.14,943.81539,0.0026150904500652494,0.0026116770506380287
2022-01-01 02:00:00,46778.14,46928.94,46721.96,46811.77,485.1686,0.0007189255494126634,0.0007186672462329537
2022-01-01 03:00:00,46811.77,46916.63,46760.12,46813.2,562.88971,3.054787289613614e-05,3.054740631936883e-05
2022-01-01 04:00:00,46813.21,46887.33,46591.23,46711.05,861.88389,-0.0021820768501190635,-0.0021844610487768575
2022-01-01 05:00:00,46711.05,47555.55,46673.94,47192.55,1400.73642,0.010308053447738885,0.01025528776268548
2022-01-01 06:00:00,47192.56,47324.42,46940.0,46979.62,613.97776,-0.0045119409737341964,-0.004522150500839829
2022-01-01 07:00:00,46979.61,47255.85,46864.84,47194.73,646.20081,0.004578793953633475,0.004568343165791847
2022-01-01 08:00:00,47194.73,47344.69,47075.11,47124.82,532.44767,-0.0014813094597638798,-0.0014824076832949272
2022-01-01 09:00:00,47124.82,47215.56,46933.58,47143.98,541.32491,0.0004065798023207279,0.0004064971711495851
2022-01-01 10:00:00,47143.98,47298.75,46715.39,46871.08,923.0176,-0.005788650003669682,-0.005805469176378907
2022-01-01 11:00:00,46871.09,47007.73,46756.77,46758.87,732.88793,-0.0023940135367053195,-0.0023968837689439053
2022-01-01 12:00:00,46758.87,47150.48,46756.3,47074.05,582.15009,0.0067405392816379806,0.006717923418594771
2022-01-01 13:00:00,47074.05,47199.67,46935.09,47023.24,454.14412,-0.0010793632585257562,-0.0010799461905490406
2022-01-01 14:00:00,47023.24,47100.0,46850.18,46926.22,503.6622,-0.0020632351152323203,-0.0020653665170293303
2022-01-01 15:00:00,46920.01,47491.14,46871.69,47219.04,1515.95305,0.006240008251250595,0.006220620013138228
2022-01-01 16:00:00,47219.04,47527.24,47186.07,47268.62,1049.57919,0.0010500001694231376,0.0010494493048168083
2022-01-01 17:00:00,47268.61,47954.63,47238.81,47754.48,1320.66577,0.010278700753269199,0.010226234128229327
2022-01-01 18:00:00,47754.47,47844.97,47420.0,47560.55,860.76025,-0.004060980247298285,-0.004069248419764534
2022-01-01 19:00:00,47560.54,47611.84,47292.72,47329.78,830.6716,-0.004852130599835469,-0.004863940402805422
2022-01-01 20:00:00,47329.79,47559.03,47250.18,47391.82,717.20792,0.0013108026278592089,0.0013099442760992252
2022-01-01 21:00:00,47391.82,47573.05,47268.79,47319.67,809.21927,-0.0015224146276721084,-0.0015235746783562975
2022-01-01 22:00:00,47319.66,47490.98,47222.22,47440.74,466.47861,0.0025585554590723536,0.0025552879283061883
2022-01-01 23:00:00,47440.74,47814.0,47277.77,47722.65,746.28954,0.0059423609328186355,0.005924774740700417
2022-01-02 00:00:00,47722.66,47750.0,47381.12,47625.3,1082.50817,-0.0020399118657492554,-0.0020419953198165613
2022-01-02 01:00:00,47625.29,47641.83,47315.38,47377.97,465.7536,-0.0051932481265209995,-0.005206779909174083
